Processes,time_jacobi,time_gauss_seidel
1,6.70377,8.22569
2,6.75487,8.33078
4,6.84244,8.41043
6,7.02126,8.5015
8,1.67308,2.05456
10,1.70478,2.08788
12,1.72496,2.14435
14,1.80847,2.21255
16,1.77721,2.22121
18,1.84482,2.26864
20,1.96707,2.32821
22,1.94483,2.4357
24,2.16164,2.67191
26,2.19657,2.72925
28,2.31544,2.89591
30,2.39989,2.90809
32,2.59033,3.34461
34,2.69849,3.21945
36,2.83321,3.55125
38,2.93536,3.52111
40,3.17526,4.02126
