Processes; Time
1; 45.6841
2; 21.7594
3; 15.0669
4; 11.5186
5; 9.46953
6; 8.98422
7; 7.85905
8; 7.25801
9; 7.19142
10; 6.71768
11; 6.75532
12; 6.83856
13; 8.75211
