Processes; Time
1; 0.322596
2; 0.334539
3; 0.344338
4; 0.349617
5; 0.35894
6; 0.388285
7; 0.389121
8; 0.399829
9; 0.402178
10; 0.40903
11; 0.419526
12; 0.419873
13; 1.78405
