Processes; Time
1; 0.423901
2; 0.438823
3; 0.45378
4; 0.456373
5; 0.470234
6; 0.49334
7; 0.494591
8; 0.501416
9; 0.504633
10; 0.508376
11; 0.512385
12; 0.522276
13; 1.69008
