Processes; Time
1; 0.0110451
2; 0.0236054
3; 0.0603896
4; 0.107784
5; 0.167181
6; 0.253739
7; 0.384599
8; 0.548727
9; 0.75808
10; 0.999325
11; 1.27822
12; 1.72729
13; 2.53636
