Processes; Time
-1; 0.14067
1; 0.138749
2; 0.0734252
3; 0.0593519
4; 0.051745
5; 0.0504822
6; 0.0515893
8; 0.0625508
9; 0.063398
10; 0.0630643
12; 0.0779009
